PEKERJAAN,STATUS_PERNIKAHAN,PRODUK,SUB_PRODUK,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS
9,1,0,0,32000000.0,60,0,0,0,0,0,3,3
37,2,0,0,430000000.0,192,1,0,0,0,0,0,1
5,2,0,0,279000000.0,120,1,0,0,0,0,0,1
37,2,0,0,14000000.0,60,0,0,0,0,0,3,4
19,2,0,1,335412000.0,216,1,0,0,0,0,0,1
37,2,0,0,150000000.0,72,1,0,0,0,0,0,1
37,2,0,0,164600000.0,120,0,0,0,0,0,3,4
9,2,0,0,200000000.0,120,1,0,0,0,0,0,1
5,0,0,0,50000000.0,36,1,0,0,0,0,0,1
31,2,0,0,247900000.0,180,0,0,0,0,0,3,4
5,0,0,0,200000000.0,168,2,0,0,1,1,2,2
11,1,0,0,56000000.0,84,2,0,0,1,1,2,2
99,2,1,2,400000000.0,60,1,3,0,0,0,0,1
37,0,0,0,318500000.0,168,2,0,0,1,1,2,2
9,0,0,0,186000000.0,120,2,0,0,1,1,2,2
13,2,1,2,378621000.0,60,0,2,0,0,2,2,5
37,2,0,0,226800000.0,88,1,0,0,0,0,0,1
34,2,0,0,34600000.0,36,1,0,0,0,0,0,1
37,2,0,1,3000000000.0,120,0,0,0,0,0,3,4
9,2,0,0,134000000.0,60,1,0,0,0,0,0,1
37,2,0,0,199000000.0,60,1,0,0,0,0,0,1
5,2,0,0,104600000.0,60,0,0,0,0,0,3,4
11,2,0,0,19000000.0,24,1,0,0,0,0,0,1
13,2,0,0,420000000.0,103,1,0,0,0,0,0,1
9,2,0,0,230000000.0,104,0,0,0,0,0,3,4
99,2,0,0,25000000.0,36,2,0,0,1,1,2,2
5,2,0,0,121000000.0,60,2,0,0,1,1,2,2
9,2,0,0,30000000.0,60,1,0,0,0,0,0,1
37,0,0,0,122600000.0,180,2,0,0,1,1,2,2
9,2,0,0,35000000.0,60,2,0,0,1,1,2,2
5,2,1,2,200000000.0,48,0,2,0,0,2,2,5
9,2,0,0,110000000.0,60,1,0,0,0,0,0,1
37,2,0,0,237000000.0,120,1,0,0,0,0,0,1
9,2,0,0,384800000.0,73,0,0,0,0,0,3,4
9,2,0,0,290000000.0,180,1,0,0,0,0,0,1
99,2,0,0,110000000.0,56,1,0,0,0,0,0,1
99,2,0,0,104000000.0,60,0,0,0,0,0,3,4
9,2,0,0,584000000.0,229,1,0,0,0,0,0,1
9,2,0,0,270000000.0,144,1,0,0,0,0,0,1
9,2,0,0,1595104039.0,188,0,0,0,0,0,3,4
13,2,1,2,100000000.0,24,2,2,0,0,2,2,2
37,1,0,0,331000000.0,120,2,0,0,1,1,2,2
99,0,0,1,160000000.0,240,1,0,0,0,0,0,1
37,2,0,0,434900000.0,239,2,0,0,1,1,2,2
9,2,0,0,238000000.0,37,2,0,0,1,1,2,2
99,0,1,2,25000000.0,24,0,2,0,0,2,2,5
36,2,0,0,418800000.0,120,1,0,0,0,0,0,1
99,0,1,3,3231000.0,12,1,3,0,0,0,0,1
99,1,0,0,102700000.0,60,0,0,0,0,0,3,4
13,1,1,2,500000000.0,60,1,3,0,0,0,0,1
9,2,0,0,240500000.0,124,1,0,0,0,0,0,1
99,2,0,0,115000000.0,180,0,0,0,0,0,3,4
13,0,0,1,179150000.0,180,1,0,0,0,0,0,1
9,2,0,0,90800000.0,60,1,0,0,0,0,0,1
37,2,0,0,300000000.0,120,0,0,0,0,0,3,4
9,1,0,0,179000000.0,72,2,0,0,1,1,2,2
37,2,0,0,236000000.0,120,2,0,0,1,1,2,2
9,0,0,0,95700000.0,60,1,0,0,0,0,0,1
99,2,0,0,200000000.0,84,2,0,0,1,1,2,2
99,0,0,1,159500000.0,180,2,0,0,1,1,2,2
34,0,0,1,162300000.0,180,0,0,0,0,0,3,4
4,2,0,0,130000000.0,19,1,0,0,0,0,0,1
37,2,0,0,170700000.0,60,1,0,0,0,0,0,1
9,2,0,0,33000000.0,60,0,0,0,0,0,3,4
8,0,0,0,50000000.0,60,1,0,0,0,0,0,1
9,2,0,0,221000000.0,84,1,0,0,0,0,0,1
19,2,0,0,220600000.0,96,0,0,0,0,0,3,4
9,2,0,0,371000000.0,180,1,0,0,0,0,0,1
5,2,0,0,580000000.0,180,1,0,0,0,0,0,1
9,2,0,0,426000000.0,120,0,0,0,0,0,3,4
37,2,0,0,100000000.0,84,2,0,0,1,1,2,2
4,2,0,0,130000000.0,180,2,0,0,1,1,2,2
9,2,0,0,74000000.0,60,1,0,0,0,0,0,1
9,2,0,0,278000000.0,89,2,0,0,1,1,2,2
18,2,0,0,430000000.0,120,2,0,0,1,1,2,2
19,2,0,0,145000000.0,84,0,0,0,0,0,3,4
37,2,0,0,190000000.0,120,1,0,0,0,0,0,1
5,2,0,0,277000000.0,180,1,0,0,0,0,0,1
37,2,0,0,270000000.0,120,0,0,0,0,0,3,4
5,2,0,0,60000000.0,48,1,0,0,0,0,0,1
37,2,0,0,90000000.0,47,1,0,0,0,0,0,1
13,2,1,2,20000000.0,36,0,2,0,0,2,2,5
11,2,0,0,50000000.0,60,1,0,0,0,0,0,1
26,2,0,0,50000000.0,36,1,0,0,0,0,0,1
31,2,0,0,383000000.0,180,0,0,0,0,0,3,4
37,2,0,0,30000000.0,120,2,0,0,1,1,2,2
9,2,0,0,100000000.0,60,2,0,0,1,1,2,2
5,0,0,0,15000000.0,36,1,0,0,0,0,0,1
99,2,0,0,75000000.0,60,2,0,0,1,1,2,2
9,2,0,0,160000000.0,72,2,0,0,1,1,2,2
5,0,0,0,24300000.0,10,0,0,0,0,0,3,4
37,2,0,0,192600000.0,84,1,0,0,0,0,0,1
99,2,0,1,224000000.0,240,1,0,0,0,0,0,1
37,2,0,0,103000000.0,120,0,0,0,0,0,3,4
9,0,0,0,20000000.0,36,1,0,0,0,0,0,1
9,0,0,0,55000000.0,60,1,0,0,0,0,0,1
99,0,0,1,335412000.0,204,0,0,0,0,0,3,4
99,0,0,0,349000000.0,180,1,0,0,0,0,0,1
4,2,0,0,105000000.0,120,1,0,0,0,0,0,1
37,2,0,0,328600000.0,240,0,0,0,0,0,3,4
37,1,0,0,25000000.0,96,2,0,0,1,1,2,2
37,2,0,0,50000000.0,60,2,0,0,1,1,2,2
37,2,0,0,139739890.0,94,1,0,0,0,0,0,1
37,2,0,1,567621502.0,117,2,0,0,1,1,2,2
13,2,1,2,447327224.0,60,2,2,0,0,2,2,2
99,2,0,0,96800000.0,60,0,0,0,0,0,3,4
9,2,0,0,173500000.0,60,1,0,0,0,0,0,1
37,2,0,0,90000000.0,60,1,0,0,0,0,0,1
13,2,1,2,200000000.0,48,0,2,0,0,2,2,5
99,2,0,0,166000000.0,180,1,0,0,0,0,0,1
19,2,0,0,518000000.0,168,1,0,0,0,0,0,1
31,2,0,1,240256563.0,145,0,0,0,0,0,3,4
9,2,0,0,400000000.0,50,1,0,0,0,0,0,1
18,2,0,0,41000000.0,60,1,0,0,0,0,0,1
99,2,0,0,493100000.0,175,0,0,0,0,0,3,4
4,2,0,0,208000000.0,83,2,0,0,1,1,2,2
31,2,0,0,212000000.0,130,2,0,0,1,1,2,2
9,1,0,0,307800000.0,96,1,0,0,0,0,0,1
18,2,0,0,395800000.0,84,2,0,0,1,1,2,2
99,0,0,0,24800000.0,10,2,0,0,1,1,2,2
37,2,0,0,224000000.0,60,0,0,0,0,0,3,4
37,2,0,0,800000000.0,180,1,0,0,0,0,0,1
37,0,0,0,126000000.0,120,1,0,0,0,0,0,1
99,0,0,0,30000000.0,48,0,0,0,0,0,3,4
19,2,0,0,170000000.0,132,1,0,0,0,0,0,1
37,1,0,0,270000000.0,32,1,0,0,0,0,0,1
5,2,0,0,1289000000.0,198,0,0,0,0,0,3,4
99,2,0,0,65000000.0,25,1,0,0,0,0,0,1
9,2,0,0,671400000.0,144,1,0,0,0,0,0,1
37,1,0,0,250000000.0,144,0,0,0,0,0,3,4
37,2,0,0,703700000.0,80,2,0,0,1,1,2,2
